logger_ID;TAXON;GENUS;SPECIES;COVER;NOTES;AUTHOR
7;Persicaria vivipara;per;viv;r;;NH
7;Phyteuma hemisphaericum;phy;hem;+;;NH
7;Salix herbacea;sal;her;+;;NH
7;Scorzoneroides helvetica;sco;hel;+;;NH
7;Veronica alpina;ver;alp;r;;NH
8;Alchemilla vulgaris agg.;alc;vul;+;;SE
8;Anthoxanthum alpinum;ant;alp;1;;SE
8;Avenula versicolor;ave;ver;+;;SE
8;Campanula barbata subsp. barbata;cam;bar;1;;SE
8;Campanula scheuchzeri;cam;sch;+;;SE
8;Carex sempervirens;car;sem;+;;SE
8;Cerastium alpinum s. str.;cer;alp;r;cf;SE
8;Festuca halleri agg.;fes;hal;+;;SE
8;Gentiana acaulis;gen;aca;+;;SE
8;Homogyne alpina;hom;alp;2b;;SE
8;Carex curvula subsp. curvula;car;cur;r;;SE
8;Leontodon hispidus;leo;his;2a;;SE
8;Leucanthemopsis alpina;leu;alp;+;;SE
8;Lotus corniculatus;lot;cor;1;;SE
8;Luzula alpina;luz;alp;+;;SE
8;Luzula lutea;luz;lut;+;;SE
8;Mutellina adonidifolia;mut;ado;+;;SE
8;Myosotis alpestris;myo;alp;+;;SE
8;Nardus stricta;nar;str;2b;;SE
8;Persicaria vivipara;per;viv;1;;SE
8;Potentilla aurea;pot;aur;1;;SE
8;Pulsatilla alpina subsp. apiifolia;pul;alp;1;;SE
8;Pyrola minor;pyr;min;+;;SE
8;Ranunculus villarsii;ran;vil;1;;SE
8;Rhinanthus glacialis;rhi;gla;+;;SE
8;Sagina saginoides;sag;sag;r;;SE
8;Salix herbacea;sal;her;1;;SE
8;Scorzoneroides helvetica;sco;hel;1;;SE
8;Selaginella selaginoides;sel;sel;+;;SE
8;Trifolium pallescens;tri;pal;+;;SE
8;Trifolium pratense subsp. pratense;tri;pra;+;;SE
9;Anthoxanthum alpinum;ant;alp;1;;SE
9;Arenaria biflora;are;bif;1;;SE
9;Erigeron uniflorus;eri;uni;+;;SE
9;Gentiana bavarica;gen;bav;+;;SE
9;Gnaphalium supinum;gna;sup;+;;SE
9;Leucanthemopsis alpina;leu;alp;+;;SE
9;Luzula spicata;luz;spi;+;;SE
9;Minuartia gerardii;min;ger;+;;SE
9;Minuartia sedoides;min;sed;2a;;SE
9;Pedicularis aspleniifolia;ped;asp;1;;SE
9;Poa alpina;poa;alp;1;;SE
9;Primula glutinosa;pri;glu;2a;;SE
9;Saxifraga bryoides;sax;bry;+;;SE
9;Saxifraga exarata;sax;exa;r;;SE
9;Saxifraga moschata;sax;mos;r;cf;SE
9;Saxifraga seguieri;sax;seg;r;;SE
9;Silene acaulis subsp. exscapa;sil;aca;2a;;SE
9;Veronica alpina;ver;alp;+;;SE
10;Agrostis rupestris;agr;rup;+;;KC
10;Euphrasia minima;eup;min;1;;KC
10;Geum reptans;geu;rep;r;;KC
10;Leucanthemopsis alpina;leu;alp;r;;KC
10;Luzula spicata;luz;spi;+;;KC
10;Poa alpina;poa;alp;+;;KC
10;Sagina saginoides;sag;sag;r;;KC
10;Salix herbacea;sal;her;2a;;KC
10;Saxifraga bryoides;sax;bry;1;;KC
10;Scorzoneroides helvetica;sco;hel;r;;KC
10;Veronica alpina;ver;alp;+;;KC
12;Achillea moschata;ach;mos;+;;KC
12;Agrostis rupestris;agr;rup;+;;KC
12;Cerastium uniflorum;cer;uni;+;;KC
12;Geum reptans;geu;rep;+;;KC
12;Poa alpina;poa;alp;+;;KC
12;Saxifraga bryoides;sax;bry;2b;;KC
12;Veronica alpina;ver;alp;+;;KC
13;Cardamine resedifolia;car;res;+;;NH
13;Cerastium uniflorum;cer;uni;2a;;NH
13;Gentiana bavarica;gen;bav;+;;NH
13;Gnaphalium supinum;gna;sup;r;;NH
13;Leucanthemopsis alpina;leu;alp;1;;NH
13;Poa alpina;poa;alp;+;;NH
13;Poa laxa;poa;lax;1;;NH
13;Ranunculus glacialis;ran;gla;+;;NH
13;Sagina saginoides;sag;sag;+;;NH
13;Sedum alpestre;sed;alp;r;;NH
13;Veronica alpina;ver;alp;+;;NH
14;Agrostis alpina;agr;alp;1;;NH
14;Agrostis rupestris;agr;rup;1;;NH
14;Carex curvula subsp. curvula;car;cur;2b;;NH
14;Erigeron uniflorus;eri;uni;r;;NH
14;Euphrasia minima;eup;min;+;;NH
14;Festuca halleri agg.;fes;hal;+;;NH
14;Gnaphalium supinum;gna;sup;r;;NH
14;Hieracium alpinum s. lat.;hie;alp;r;;NH
14;Leucanthemopsis alpina;leu;alp;1;;NH
14;Minuartia sedoides;min;sed;1;;NH
14;Oreochloa disticha;ore;dis;1;;NH
14;Phyteuma hemisphaericum;phy;hem;+;;NH
14;Potentilla frigida;pot;fri;+;;NH
14;Salix herbacea;sal;her;1;;NH
14;Saxifraga bryoides;sax;bry;+;;NH
14;Saxifraga exarata;sax;exa;1;;NH
14;Scorzoneroides helvetica;sco;hel;+;;NH
14;Sempervivum montanum s. str.;sem;mon;r;;NH
14;Veronica bellidioides;ver;bel;+;;NH
17;Androsace alpina;and;alp;+;;KH
17;Cerastium uniflorum;cer;uni;1;;KH
17;Gentiana bavarica;gen;bav;+;;KH
17;Luzula spicata;luz;spi;+;;KH
17;Poa laxa;poa;lax;1;;KH
17;Ranunculus glacialis;ran;gla;+;;KH
17;Saxifraga bryoides;sax;bry;3;;KH
17;Saxifraga oppositifolia s. str.;sax;opp;r;;KH
18;Agrostis rupestris;agr;rup;+;;NH
18;Campanula scheuchzeri;cam;sch;+;;NH
18;Cardamine resedifolia;car;res;+;;NH
18;Epilobium anagallidifolium;epi;ana;+;;NH
18;Geum reptans;geu;rep;1;;NH
18;Luzula alpino-pilosa;luz;alp1;+;;NH
18;Oxyria digyna;oxy;dig;+;;NH
18;Sagina saginoides;sag;sag;r;;NH
18;Saxifraga bryoides;sax;bry;1;;NH
18;Sedum alpestre;sed;alp;r;;NH
18;Sempervivum montanum s. str.;sem;mon;+;;NH
18;Veronica alpina;ver;alp;+;;NH
19;Agrostis rupestris;agr;rup;r;;NH
19;Cardamine resedifolia;car;res;r;;NH
19;Carex curvula subsp. curvula;car;cur;+;;NH
19;Epilobium anagallidifolium;epi;ana;+;;NH
19;Festuca halleri agg.;fes;hal;+;;NH
19;Gentiana bavarica;gen;bav;r;;NH
19;Geum reptans;geu;rep;1;;NH
19;Gnaphalium supinum;gna;sup;+;;NH
19;Minuartia sedoides;min;sed;r;;NH
19;Phyteuma hemisphaericum;phy;hem;r;;NH
19;Poa alpina;poa;alp;+;;NH
19;Sagina saginoides;sag;sag;+;;NH
19;Saxifraga bryoides;sax;bry;+;;NH
19;Scorzoneroides helvetica;sco;hel;r;;NH
19;Sedum alpestre;sed;alp;+;;NH
19;Sempervivum montanum s. str.;sem;mon;+;;NH
19;Veronica alpina;ver;alp;+;;NH
21;Agrostis rupestris;agr;rup;+;;NH
21;Avenula versicolor;ave;ver;+;;NH
21;Cerastium uniflorum;cer;uni;1;;NH
21;Gnaphalium supinum;gna;sup;r;;NH
21;Leucanthemopsis alpina;leu;alp;1;;NH
21;Luzula spicata;luz;spi;+;;NH
21;Minuartia sedoides;min;sed;+;;NH
21;Ranunculus glacialis;ran;gla;+;;NH
21;Saxifraga bryoides;sax;bry;+;;NH
21;Sedum alpestre;sed;alp;r;;NH
21;Silene acaulis subsp. exscapa;sil;aca;2a;;NH
22;Agrostis rupestris;agr;rup;1;;NH
22;Antennaria carpatica;ant;car;+;;NH
22;Avenula versicolor;ave;ver;+;;NH
22;Cerastium uniflorum;cer;uni;1;;NH
22;Gnaphalium supinum;gna;sup;r;;NH
22;Leucanthemopsis alpina;leu;alp;+;;NH
22;Luzula spicata;luz;spi;+;;NH
22;Minuartia sedoides;min;sed;+;;NH
22;Oreochloa disticha;ore;dis;1;;NH
22;Primula glutinosa;pri;glu;+;;NH
22;Ranunculus glacialis;ran;gla;+;;NH
22;Saxifraga bryoides;sax;bry;2a;;NH
22;Scorzoneroides helvetica;sco;hel;r;;NH
22;Sedum alpestre;sed;alp;+;;NH
24;Cerastium uniflorum;cer;uni;+;;NH
24;Leucanthemopsis alpina;leu;alp;+;;NH
24;Luzula spicata;luz;spi;r;;NH
24;Poa nemoralis;poa;nem;+;;NH
24;Saxifraga bryoides;sax;bry;1;;NH
25;Agrostis rupestris;agr;rup;+;;SE
25;Alchemilla vulgaris agg.;alc;vul;1;;SE
25;Anthoxanthum alpinum;ant;alp;2a;;SE
25;Avenella flexuosa;ave;fle;2a;;SE
25;Avenula versicolor;ave;ver;1;;SE
25;Campanula barbata subsp. barbata;cam;bar;+;;SE
25;Campanula scheuchzeri;cam;sch;+;;SE
25;Carex curvula subsp. curvula;car;cur;+;;SE
25;Carex sempervirens;car;sem;1;;SE
25;Festuca halleri agg.;fes;hal;1;;SE
25;Homogyne alpina;hom;alp;2b;;SE
25;Leucanthemopsis alpina;leu;alp;+;;SE
25;Luzula alpina;luz;alp;+;;SE
25;Luzula lutea;luz;lut;+;;SE
25;Mutellina adonidifolia;mut;ado;2b;;SE
25;Nardus stricta;nar;str;1;;SE
25;Persicaria vivipara;per;viv;2a;;SE
25;Phyteuma hemisphaericum;phy;hem;+;;SE
25;Poa alpina;poa;alp;1;;SE
25;Potentilla aurea;pot;aur;1;;SE
25;Primula minima;pri;min;+;;SE
25;Ranunculus villarsii;ran;vil;1;;SE
25;Rhinanthus glacialis;rhi;gla;+;;SE
25;Salix herbacea;sal;her;1;;SE
25;Scorzoneroides helvetica;sco;hel;1;;SE
25;Selaginella selaginoides;sel;sel;r;;SE
25;Soldanella pusilla;sol;pus;+;;SE
25;Trifolium pallescens;tri;pal;1;;SE
25;Trifolium pratense subsp. pratense;tri;pra;+;;SE
26;Cardamine resedifolia;car;res;r;;NH
26;Cerastium uniflorum;cer;uni;+;;NH
26;Festuca halleri agg.;fes;hal;+;;NH
26;Minuartia sedoides;min;sed;+;;NH
26;Poa laxa;poa;lax;+;;NH
26;Primula hirsuta;pri;hir;r;cf;NH
26;Sedum alpestre;sed;alp;+;;NH
26;Sibbaldia procumbens;sib;pro;+;;NH
26;Veronica alpina;ver;alp;+;;NH
27;Achillea moschata;ach;mos;+;;NH
27;Agrostis rupestris;agr;rup;+;;NH
27;Cerastium uniflorum;cer;uni;+;;NH
27;Leucanthemopsis alpina;leu;alp;+;;NH
27;Linaria alpina subsp alpina;lin;alp;r;;NH
27;Poa alpina;poa;alp;+;;NH
27;Veronica alpina;ver;alp;+;;NH
28;Achillea moschata;ach;mos;2a;;NH
28;Agrostis alpina;agr;alp;1;;NH
28;Agrostis rupestris;agr;rup;1;;NH
28;Anthoxanthum alpinum;ant;alp;1;;NH
28;Avenula versicolor;ave;ver;+;;NH
28;Carex curvula subsp. curvula;car;cur;1;;NH
28;Euphrasia minima;eup;min;+;;NH
28;Gnaphalium supinum;gna;sup;r;;NH
28;Juncus trifidus;jun;tri;+;;NH
28;Leucanthemopsis alpina;leu;alp;+;;NH
28;Luzula spicata;luz;spi;+;;NH
28;Minuartia sedoides;min;sed;r;;NH
28;Mutellina adonidifolia;mut;ado;1;;NH
28;Oreochloa disticha;ore;dis;+;;NH
28;Persicaria vivipara;per;viv;+;;NH
28;Potentilla aurea;pot;aur;+;;NH
28;Salix herbacea;sal;her;2b;;NH
28;Saxifraga bryoides;sax;bry;r;;NH
28;Scorzoneroides helvetica;sco;hel;1;;NH
28;Silene acaulis subsp. exscapa;sil;aca;1;;NH
31;Androsace alpina;and;alp;r;;NH
31;Anthoxanthum alpinum;ant;alp;+;;NH
31;Cerastium uniflorum;cer;uni;+;;NH
31;Erigeron uniflorus;Eri;uni;+;;NH
31;Gentiana bavarica;gen;bav;+;;NH
31;Luzula spicata;luz;spi;1;;NH
31;Minuartia sedoides;min;sed;1;;NH
31;Pedicularis aspleniifolia;ped;asp;r;;NH
31;Poa laxa;poa;lax;+;;NH
31;Saxifraga bryoides;sax;bry;2a;;NH
31;Saxifraga seguieri;sax;seg;r;;NH
31;Sedum alpestre;sed;alp;+;;NH
31;Silene acaulis subsp. exscapa;sil;aca;2a;;NH
31;Veronica alpina;ver;alp;r;;NH
32;Agrostis rupestris;agr;rup;+;;NH
32;Cardamine resedifolia;car;res;r;;NH
32;Cerastium uniflorum;cer;uni;r;;NH
32;Erigeron uniflorus;eri;uni;+;;NH
32;Festuca halleri agg.;fes;hal;1;;NH
32;Gnaphalium supinum;gna;sup;r;;NH
32;Leucanthemopsis alpina;leu;alp;1;;NH
32;Minuartia sedoides;min;sed;1;;NH
32;Oreochloa disticha;ore;dis;+;;NH
32;Phyteuma hemisphaericum;phy;hem;1;;NH
32;Potentilla frigida;pot;fri;r;;NH
32;Primula glutinosa;pri;glu;r;;NH
32;Ranunculus glacialis;ran;gla;r;;NH
32;Saxifraga bryoides;sax;bry;1;;NH
32;Silene acaulis subsp. exscapa;sil;aca;+;;NH
33;Achillea moschata;ach;mos;2b;;NH
33;Agrostis alpina;agr;alp;1;;NH
33;Avenula versicolor;ave;ver;+;;NH
33;Carex curvula subsp. curvula;car;cur;2b;;NH
33;Euphrasia minima;eup;min;r;;NH
33;Hieracium sp.;hie;spe;r;;NH
33;Juncus jacquinii;jun;jac;1;;NH
33;Luzula lutea;luz;lut;1;;NH
33;Minuartia sedoides;min;sed;+;;NH
33;Oreochloa disticha;ore;dis;+;;NH
33;Phyteuma hemisphaericum;phy;hem;+;;NH
33;Primula minima;pri;min;1;;NH
33;Saxifraga bryoides;sax;bry;+;;NH
33;Scorzoneroides helvetica;sco;hel;+;;NH
33;Silene acaulis subsp. exscapa;sil;aca;1;;NH
34;Anthoxanthum alpinum;ant;alp;1;;SE
34;Cerastium uniflorum;cer;uni;1;;SE
34;Erigeron uniflorus;eri;uni;1;;SE
34;Euphrasia minima;eup;min;r;;SE
34;Gentiana bavarica;gen;bav;+;;SE
34;Gnaphalium supinum;gna;sup;+;;SE
34;Leucanthemopsis alpina;leu;alp;+;;SE
34;Luzula spicata;luz;spi;1;;SE
34;Minuartia gerardii;min;ger;+;;SE
34;Minuartia sedoides;min;sed;1;;SE
34;Poa alpina;poa;alp;1;cf;SE
34;Primula glutinosa;pri;glu;+;;SE
34;Ranunculus glacialis;ran;gla;+;;SE
34;Sagina saginoides;sag;sag;r;;SE
34;Saxifraga bryoides;sax;bry;2a;;SE
34;Saxifraga seguieri;sax;seg;+;;SE
34;Sedum alpestre;sed;alp;r;;SE
34;Sibbaldia procumbens;sib;pro;+;;SE
34;Silene acaulis subsp. exscapa;sil;aca;3;;SE
34;Veronica alpina;ver;alp;+;;SE
35;Agrostis rupestris;agr;rup;2a;;KC
35;Festuca halleri agg.;fes;hal;1;;KC
35;Poa alpina;poa;alp;+;;KC
35;Sagina saginoides;sag;sag;+;;KC
35;Saxifraga bryoides;sax;bry;+;;KC
35;Sedum alpestre;sed;alp;+;;KC
36;Cerastium uniflorum;cer;uni;1;;NH
36;Erigeron uniflorus;eri;uni;+;;NH
36;Gentiana bavarica;gen;bav;+;;NH
36;Luzula spicata;luz;spi;r;;NH
36;Poa laxa;poa;lax;+;;NH
36;Ranunculus glacialis;ran;gla;r;;NH
36;Sagina saginoides;sag;sag;r;;NH
36;Saxifraga bryoides;sax;bry;1;;NH
36;Saxifraga seguieri;sax;seg;+;;NH
36;Silene acaulis subsp. exscapa;sil;aca;1;;NH
36;Veronica alpina;ver;alp;+;;NH
37;Cerastium uniflorum;Cer;uni;1;;SD
37;Erigeron uniflorus;Eri;uni;1;;SD
37;Gnaphalium supinum;Gna;sup;+;;SD
37;Luzula spicata;Luz;spi;+;;SD
37;Poa laxa;Poa;lax;+;;SD
37;Saxifraga bryoides;Sax;bry;2a;;SD
37;Saxifraga exarata;Sax;exa;1;;SD
37;Silene acaulis subsp. exscapa;Sil;aca;r;;SD
37;Veronica alpina;Ver;alp;+;;SD
39;Agrostis rupestris;agr;rup;1;;NH
39;Cerastium uniflorum;cer;uni;2a;;NH
39;Geum reptans;geu;rep;1;;NH
39;Leucanthemopsis alpina;leu;alp;+;;NH
39;Linaria alpina subsp alpina;lin;alp;+;;NH
39;Luzula spicata;luz;spi;+;;NH
39;Poa alpina;poa;alp;+;;NH
39;Poa laxa;poa;lax;1;;NH
39;Saxifraga bryoides;sax;bry;1;;NH
40;Cerastium uniflorum;cer;uni;+;;NH
40;Leucanthemopsis alpina;leu;alp;+;;NH
40;Poa laxa;poa;lax;r;;NH
40;Saxifraga exarata;sax;exa;1;;NH
44;Agrostis rupestris;agr;rup;+;;KC
44;Cardamine resedifolia;car;res;r;;KC
44;Cerastium uniflorum;cer;uni;+;;KC
44;Festuca halleri agg.;fes;hal;+;;KC
44;Leucanthemopsis alpina;leu;alp;+;;KC
44;Luzula spicata;luz;spi;+;;KC
44;Minuartia gerardii;min;ger;+;;KC
44;Poa laxa;poa;lax;+;;KC
44;Saxifraga bryoides;sax;bry;+;;KC
45;Androsace alpina;and;alp;r;;NH
45;Cardamine resedifolia;car;res;r;;NH
45;Cerastium uniflorum;cer;uni;2a;;NH
45;Erigeron uniflorus;eri;uni;r;;NH
45;Gentiana bavarica;gen;bav;+;;NH
45;Gnaphalium supinum;gna;sup;r;;NH
45;Luzula spicata;luz;spi;+;;NH
45;Poa alpina;poa;alp;+;;NH
45;Poa laxa;poa;lax;+;;NH
45;Saxifraga bryoides;sax;bry;2a;;NH
45;Silene acaulis subsp. exscapa;sil;aca;2a;;NH
45;Veronica alpina;ver;alp;r;;NH
46;Agrostis alpina;agr;alp;+;;SE
46;Antennaria carpatica;ant;car;+;;SE
46;Avenula versicolor;ave;ver;1;;SE
46;Carex curvula subsp. curvula;car;cur;3;;SE
46;Doronicum clusii subsp. clusii;dor;clu;1;;SE
46;Geum montanum;geu;mon;+;;SE
46;Gnaphalium supinum;gna;sup;+;;SE
46;Juncus trifidus;jun;tri;2a;;SE
46;Leucanthemopsis alpina;leu;alp;+;;SE
46;Luzula lutea;luz;lut;1;;SE
46;Minuartia sedoides;min;sed;+;;SE
46;Phyteuma hemisphaericum;phy;hem;1;;SE
46;Saxifraga bryoides;sax;bry;1;;SE
46;Scorzoneroides helvetica;sco;hel;+;;SE
46;Senecio incanus subsp. carniolicus;sen;inc;+;;SE
46;Silene acaulis subsp. exscapa;sil;aca;1;;SE
48;Agrostis rupestris;agr;rup;+;;KC
48;Cardamine resedifolia;car;res;+;;KC
48;Cerastium uniflorum;cer;uni;+;;KC
48;Euphrasia minima;eup;min;+;;KC
48;Geum reptans;geu;rep;2a;;KC
48;Gnaphalium supinum;gna;sup;+;;KC
48;Leucanthemopsis alpina;leu;alp;1;;KC
48;Poa alpina;poa;alp;+;;KC
48;Saxifraga bryoides;sax;bry;+;;KC
48;Sedum alpestre;sed;alp;+;;KC
48;Veronica alpina;ver;alp;1;;KC
50;Festuca halleri agg.;fes;hal;1;cf;NH
50;Luzula spicata;luz;spi;+;;NH
50;Minuartia gerardii;min;ger;r;;NH
50;Minuartia sedoides;min;sed;1;;NH
50;Oreochloa disticha;ore;dis;2a;;NH
50;Poa alpina;poa;alp;r;;NH
50;Poa laxa;poa;lax;+;;NH
50;Potentilla frigida;pot;fri;1;;NH
50;Saxifraga bryoides;sax;bry;2a;;NH
50;Saxifraga exarata;sax;exa;+;;NH
50;Silene acaulis subsp. exscapa;sil;aca;2b;;NH
51;Agrostis rupestris;agr;rup;+;;NH
51;Cardamine resedifolia;car;res;r;;NH
51;Gnaphalium supinum;gna;sup;r;;NH
51;Poa laxa;poa;lax;+;;NH
51;Saxifraga bryoides;sax;bry;r;;NH
51;Sedum alpestre;sed;alp;+;;NH
51;Veronica alpina;ver;alp;+;;NH
52;Anthoxanthum alpinum;ant;alp;1;;SE
52;Avenula versicolor;ave;ver;1;;SE
52;Cardamine resedifolia;car;res;r;cf;SE
52;Carex curvula subsp. curvula;car;cur;3;;SE
52;Euphrasia minima;eup;min;r;;SE
52;Leucanthemopsis alpina;leu;alp;+;;SE
52;Luzula spicata;luz;spi;+;;SE
52;Minuartia sedoides;min;sed;1;;SE
52;Oreochloa disticha;ore;dis;2a;;SE
52;Pedicularis aspleniifolia;ped;asp;+;;SE
52;Persicaria vivipara;per;viv;2a;;SE
52;Phyteuma hemisphaericum;phy;hem;+;;SE
52;Potentilla aurea;pot;aur;1;;SE
52;Primula glutinosa;pri;glu;2a;;SE
52;Saxifraga bryoides;sax;bry;+;;SE
52;Sedum alpestre;sed;alp;r;;SE
52;Sibbaldia procumbens;sib;pro;+;;SE
52;Silene acaulis subsp. exscapa;sil;aca;1;;SE
52;Veronica bellidioides;ver;bel;+;;SE
53;Agrostis alpina;agr;alp;1;;SE
53;Anthoxanthum alpinum;ant;alp;2a;;SE
53;Avenella flexuosa;ave;fle;+;;SE
53;Avenula versicolor;ave;ver;1;;SE
53;Bartsia alpina;bar;alp;+;;SE
53;Campanula barbata subsp. barbata;cam;bar;1;;SE
53;Campanula scheuchzeri;cam;sch;+;;SE
53;Carex sempervirens;car;sem;1;;SE
53;Festuca halleri agg.;fes;hal;+;;SE
53;Gentiana acaulis;gen;aca;1;;SE
53;Geranium sylvaticum;ger;syl;+;;SE
53;Geum montanum;geu;mon;1;;SE
53;Homogyne alpina;hom;alp;2a;;SE
53;Juncus trifidus;jun;tri;+;;SE
53;Kobresia myosuroides;kob;myo;+;;SE
53;Leontodon hispidus;leo;his;2a;;SE
53;Luzula alpina;luz;alp;1;;SE
53;Luzula lutea;luz;lut;+;;SE
53;Myosotis alpestris;myo;alp;1;;SE
53;Persicaria vivipara;per;viv;1;;SE
53;Phyteuma hemisphaericum;phy;hem;+;;SE
53;Poa alpina;poa;alp;+;;SE
53;Potentilla aurea;pot;aur;1;;SE
53;Pulsatilla alpina subsp. apiifolia;pul;alp;1;;SE
53;Pulsatilla vernalis;pul;ver;+;;SE
53;Ranunculus villarsii;ran;vil;1;;SE
53;Rhinanthus glacialis;rhi;gla;1;;SE
53;Rhododendron ferrugineum;rho;fer;1;;SE
53;Scorzoneroides helvetica;sco;hel;1;;SE
53;Selaginella selaginoides;sel;sel;+;;SE
53;Silene acaulis subsp. exscapa;sil;aca;+;;SE
53;Solidago virgaurea subsp. minuta;sol;vir;1;;SE
53;Thymus praecox subsp. polytrichus;thy;pra;+;;SE
53;Trifolium pallescens;tri;pal;+;;SE
53;Trifolium pratense subsp. pratense;tri;pra;1;;SE
53;Vaccinium myrtillus;vac;myr;2a;;SE
53;Vaccinium vitis-idaea;vac;vit;1;;SE
56;Agrostis rupestris;agr;rup;+;;KC
56;Cardamine resedifolia;car;res;r;;KC
56;Gnaphalium supinum;gna;sup;r;;KC
56;Poa alpina;poa;alp;1;;KC
56;Sedum alpestre;sed;alp;+;;KC
56;Veronica alpina;ver;alp;+;;KC
60;Cerastium uniflorum;cer;uni;r;;NH
60;Gentiana brachyphylla;gen;bra;r;;NH
60;Leucanthemopsis alpina;leu;alp;1;;NH
60;Luzula spicata;luz;spi;2a;;NH
60;Minuartia sedoides;min;sed;2a;;NH
60;Oreochloa disticha;ore;dis;+;;NH
60;Poa alpina;poa;alp;1;;NH
60;Poa laxa;poa;lax;+;;NH
60;Potentilla frigida;pot;fri;r;;NH
60;Ranunculus glacialis;ran;gla;+;;NH
60;Saxifraga bryoides;sax;bry;1;;NH
60;Saxifraga exarata;sax;exa;+;;NH
60;Silene acaulis subsp. exscapa;sil;aca;2b;;NH
61;Agrostis rupestris;agr;rup;+;;NH
61;Cardamine resedifolia;car;res;r;;NH
61;Cerastium uniflorum;cer;uni;+;;NH
61;Epilobium anagallidifolium;epi;ana;+;;NH
61;Euphrasia minima;eup;min;+;;NH
61;Gnaphalium supinum;gna;sup;1;;NH
61;Gymnocarpium dryopteris;gym;dry;+;;NH
61;Leucanthemopsis alpina;leu;alp;1;;NH
61;Luzula spicata;luz;spi;+;;NH
61;Poa alpina;poa;alp;+;;NH
61;Poa laxa;poa;lax;+;;NH
61;Sagina saginoides;sag;sag;r;;NH
61;Saxifraga bryoides;sax;bry;+;;NH
61;Scorzoneroides helvetica;sco;hel;+;;NH
61;Sedum alpestre;sed;alp;+;;NH
61;Veronica alpina;ver;alp;+;;NH
